BodyName,Ad,Ag,Al,Ar,Au,Be,C6Hn,Cl,Co,Cs,Cu,Dy,Eu,F,Fe,H2O,He-3,Hg,HnCn,Ie,IL,Ir,Li,Nd,Ne,Ni,Pb,Pd,Pt,Pu,R-COC,Rc,Sb,SiH3Cl,Ta,Ti,Tsn,U,V,Vr,Vy,W,Xe,xF4,Yb
Kumasi VIII-a,,,,X,,,X,,,,,,,,X,X,X,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Kumasi VIII-b,,,,,,,,,,,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,
Kumasi VIII-c,,,,,,,,,,,X,,,X,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,
Kumasi VIII-d,,,,,,,,X,X,,X,,,X,,X,,,,,,,,,,X,X,,,,,,,X,,,,,,,,,,,
Kumasi IX,,,,,,,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kumasi IX-a,,,,,,,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,
Vesta,,,,X,,,X,X,,,X,,,X,,X,,X,,,,,,,,,X,,,,,,,,,,,,,,,,,,
Vesta Lunaris,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Numitor,,,X,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remus,,,,,,,,,,,,,,,X,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,
Romulus,,,X,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Petria,,,,,,,,,,,X,,,X,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,X,
Earrach,,,,,,,,,,,,,,,X,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaea,,,X,,,,,,,,,,,,,,X,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
Crius,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coeus,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cassini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lillius,,,,,,,,,,,X,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abetti,,,,X,,,X,,,,,,,,,X,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Gasparis,,,,,X,,,,,,X,,,X,,X,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,
Okoro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okoro Alpha,,,,,,,,X,,,,,,,,X,,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,
Okoro Beta,,,,,,,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,X,,,,,,,,,X,,
Okoro Delta,,,,,,,,,X,,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,
Okoro Epsilon,,,,,,,,,,,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,
Okoro Gamma,,,,,,,,,,,,,,,,X,,,,,,,,,,X,,,X,,,,,,,,,,,,,,,,
Cthol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nyarloth,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uvhan,,,,X,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Az-Valok,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reva's World,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oborum Proxima I,,,,,,,,X,,,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,
Vega I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vega I-a,,,,,,,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vega I-b,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vega I-c,,,,,,,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,
Vega II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vega II-a,,,,,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vega II-b,,,,,,,,,,,,X,,,,X,,,,,,,,,,,X,,,,,,,,,X,,,,,,,,,
Vega II-c,,,,X,,,,X,,,,,,,,X,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,
Vega II-d,,,,,,,,X,,,,,,,X,X,,,X,,,,,,,X,,X,,,,,,,,,,X,,,,,,,
Vega II-e,,,,,,,,,X,,,,,,,X,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,
Alpha Andraste I,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpha Andraste I-a,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpha Andraste II,,,X,,,X,,X,,,,,,,X,,X,,,,,,,,,,,,,,,,,,X,,,,,,,,,,
Alpha Andraste III,,,,X,,,,X,,,,,,,,X,,,,,,,,,,,X,,,,,,,X,,,,,,,,,X,,
Alpha Andraste IV,,,,,,,,,,,X,,,,X,X,,,X,,,,,,,X,X,X,,,,,,,,X,,,,,,,,,
Alpha Andraste V,,,,,,,,X,,,,,,,,X,,,,,,X,,,,X,,,,,,,,X,,,,X,,,,,,,
Alpha Andraste VI,,,,,,,,,,,,,,,,X,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,
Copernicus I,,,,,,,,,,,,,,,,X,,,,,,,,,,X,X,,,,,,,,,,,,,,,X,,,
Copernicus II,,,,,,,X,,,,X,,,X,X,X,,,,,,,,,,X,X,,,,,,,,,X,,,,,,,,,
Copernicus III,,,,X,,,X,,,,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,
Copernicus III-a,,,X,,,X,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copernicus IV,,,X,X,,X,,,,,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,
Copernicus V,,,,X,,,,X,,,,,,,,X,,,,,,,X,,,X,,,,,,,,,,,,,,,,,,,
Copernicus VI,,,X,,,,,,,,,,X,,,,X,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
Copernicus VII,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copernicus VII-a,,,,,,,,X,,,X,,,X,,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,
Copernicus VII-b,,,,,,,,X,,,,,,,,X,,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,
Copernicus VIII,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copernicus VIII-a,,,,,,,,X,,,,,,,,X,,,,,,,X,,,,,,,,,,,X,,,,,,,,,X,,
Copernicus VIII-b,,,,,,,,,,,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,
Copernicus VIII-c,,,,,,,,,,,,,,,,X,,,,,,,,,,,X,,,,,,,,,X,,,,,,,,,
Copernicus VIII-d,,,,,,,,,X,,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,
Copernicus Minor I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copernicus Minor I-a,,,,,,,,X,,,,,,,,X,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
Copernicus Minor I-b,,,,,,,,X,,,,,,,X,X,,,X,,,,X,,,,,,,,,,,X,,,,,,,,,,,
Denebola I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denebola I-a,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denebola I-b,,X,,,,,,,,,X,,,,X,X,X,,,,,X,,,,,X,,,,,,,,,,,X,,,,,,,
Denebola II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denebola III,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denebola III-a,,,,,,,,X,,,,,,,X,X,X,,X,,,,,,,,,,,,,,,X,X,,,,,,,,,,X
Denebola III-b,,,,,,,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,
Lantana I,,,X,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lantana II,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,X,,,,X,,,
Lantana III,,,,,,,,X,,,X,,,,X,X,,,,,,,,,,X,,,,,,,,X,,,,,,,,,,,
Lantana III-a,,,X,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lantana IV,,,,,,,,,X,,X,,,X,,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,
Lantana V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lantana V-a,,,,X,,,X,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lantana V-b,,,,,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lantana VI,,,,,,,,X,X,,,,,,X,X,,,X,,,,,,,X,,,,,,,,,,,,X,X,,,,,,
Lantana VII,,X,,,X,,,X,,,X,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,
Lantana VIII,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lantana VIII-a,,,,,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
Lantana VIII-b,,,,,,,,,X,,,,,,,X,,,,,,X,,,,X,X,,X,X,,,,,,,,X,,,,,,,
Lantana VIII-c,,,,,,,,X,,,,,,,X,X,X,,,,,,,,,X,X,X,,,,,,X,,,,,,,,,,,
Lantana VIII-d,,,,,,,,X,X,,,,,,,X,X,,,,,,,,,X,,X,X,,,,,,,,,,,,,,,,
Lantana IX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lantana IX-a,,,,,,,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lantana IX-b,,X,,,,,,,,,,,,,,X,,X,,,,,,,,,X,,,,,,,,,,,,,,,,,,
Lantana IX-c,,,,,,,,,X,,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,
Lantana IX-d,,,,,,,,,,,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,
Lantana IX-e,,,,,,,,X,,,X,,,,X,X,,,X,,,,,,,,X,,,,,,,,X,,,,,,,,,,
Porrima I,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porrima I-a,,,,,,,,,,,,,,,X,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,
Porrima I-b,,,X,,,X,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porrima II,,,,,,,,X,,X,,,,,,X,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
Porrima II-a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porrima II-b,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porrima II-c,,,,,,,,X,,,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,
Porrima III,,,X,,,,,X,,,,,,,,X,X,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
Porrima III-a,,,X,,,,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porrima III-b,,,X,,,X,,,,,,,,,,,X,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
Porrima IV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porrima IV-a,,,,X,,,X,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porrima IV-b,,,,X,,,X,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porrima IV-c,,,,X,,,,X,,,,,,,X,X,,,X,,,,,,X,,,,,,X,,,X,,,,,,,,,,,
Porrima IV-d,,,,X,,,,,,,,,,,,X,,,,,,,,,X,X,X,,,X,X,,,,,,,X,,,,,,,
Porrima V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porrima V-a,,,,X,,,X,X,,X,X,,,X,,X,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
Porrima V-b,,,,,X,,,,,,X,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porrima V-c,,,,,X,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,
Porrima VI,,,,,,,,X,,,,,,,,X,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
Porrima VI-a,,,,,,,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,
Ursa Major I,,,,,,,,,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,
Ursa Major I-a,,,X,,,X,,,,,,,,,,,X,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
Ursa Major I-b,,,X,,,X,,,,,,,,,,,X,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
Ursa Major I-c,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,X,,,,,,,,,,
Ursa Major II,,,,X,,,X,X,,,,,,,X,X,,,,,,,,,,,,,,,X,,,X,X,,,,,,,,,,
Ursa Major III,,,,,,,,,,,X,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Al-Battani I,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Al-Battani I-a,,,X,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Al-Battani I-b,,,X,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Al-Battani I-c,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,X,,,,,,,,,,
Al-Battani II,,,,,,,,,,,X,X,,,,X,,,X,,X,,,,,X,X,,,,,,,,,,,,,,,,,,
Al-Battani III,,,,,,,,,,,X,,,X,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,
Al-Battani III-a,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Al-Battani III-b,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Al-Battani IV,,,,,,,,X,,,,,,,X,X,,,X,,,,,,,,X,,,,,,,X,,,,,,,,,,,
Al-Battani IV-a,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Al-Battani IV-b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Al-Battani V,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Al-Battani V-a,,,X,,,X,,,,,,,,,,,X,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
Al-Battani VI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Al-Battani VI-a,,,,,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Al-Battani VI-b,,,,,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Al-Battani VII,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Al-Battani VII-a,,,X,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Al-Battani VIII,,,X,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Al-Battani VIII-a,,X,,,,,,,,,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,
Tirna I,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,X,,,,,,,,,,
Tirna II,,,,,,,,X,,,X,X,,X,,X,,,,,X,,,,,,X,,,,,,,,,,,,,,,,,,
Tirna II-a,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tirna III,,X,,X,,,,X,X,,,,,X,,X,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,
Tirna III-a,,,X,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tirna III-b,,,X,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tirna III-c,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tirna IV,,,,X,,,,,X,,,,,,X,X,,,,,,,,,,X,,,,,,,,,,,,X,X,,,,,,
Tirna IV-a,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,X,,,,,,,,,,
Tirna V,,,,,,,,,,,X,,,X,,X,,,,,,,,,,,X,,,,,,,,,,,X,X,,,X,,,
Tirna VI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tirna VI-a,,,,,,,,,,,X,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
Tirna VI-b,,,X,,X,,,X,,,X,,X,X,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tirna VI-c,,,,,,,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,
Tirna VI-d,,,,,,,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tirna VI-e,,,,,,,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tirna VII,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tirna VII-a,,,,,,,,,,,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,
Tirna VII-b,,,,,,,,,,,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,X,,,
Tirna VII-c,,,,,,,,,,,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,
Tirna VIII,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tirna VIII-a,,,X,X,,,,X,,X,,,,,,X,X,,,,,,,,,,,,,,X,,,X,,,,,,,,,,,
Tirna VIII-b,,,,X,,,X,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tirna VIII-c,,,,,,,,,,,,X,,,X,X,,,X,,,,,,,,X,,,,,,,,X,X,,,,,,X,,,
Tirna VIII-d,,,,X,,,X,,,,,,,,X,X,,,X,,,,,,,X,,,,,X,,,,,,,X,,,,,,,
Tirna VIII-e,,,X,X,,,X,,,,,,,,,X,X,,,,,X,,,X,,,,,,,,,,,,,X,,,,,,,
Tirna IX,,,,,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
Tirna X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tirna X-a,,,,,X,,,,,,X,,,,X,X,,,,,,,,,,,X,,,,,,,,,X,,,,,,X,,,
Tirna X-b,,,,,,,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,
Tirna X-c,,,,,X,,,,,,X,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tirna B,,,,,,,,,,,,,,,X,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivar I,,,,,,,,X,,,X,,,,,X,,,,,,,,,,X,X,,,,,,,,,,,,,,,X,,,
Jaffa I,,,,,,,,,,,,X,,,X,,,,X,,,,,,,,X,,,,,,,,,X,,X,,,,X,,,
Jaffa I-a,,,,,,,,,,,,,,,X,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaffa II,,,,,X,,,X,,,X,,,X,,X,,X,,,,,X,,,,X,,,,,,,,,,,,,,,,,,
Jaffa II-a,,,,,,,,,X,,,,,,,X,,,,,,X,,,,X,,X,,X,,,,,,,,X,,,,,,,
Jaffa III,,,,,,,,X,,,X,,,,,X,,,,,,X,,,,,,,,X,,,,X,,,,X,X,,,,,,
Jaffa IV,,,,X,,,,,,,X,,,,,X,,,,,,,,,,,X,,,,X,,,,,,,X,X,,,,,,
Jaffa IV-a,,,X,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaffa V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaffa V-a,,,,,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
Jaffa VI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaffa VI-a,,X,,,,,X,X,,,,,,,,X,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,
Jaffa VI-b,,,,,,,,,,,X,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaffa VI-c,,,X,,,,,,,,,,X,,,,X,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
Jaffa VII,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaffa VII-a,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaffa VII-b,,,,,,,,X,,,,X,,,X,X,,,,,,,,,,,X,,,,,,,X,,X,,,,,,X,,,
Jaffa VII-c,,,,,,,,,X,,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,
Jaffa VII-d,,,,,,,,,X,,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,
Jaffa VII-e,,,,,,,,,,,X,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaffa VIII,,,,X,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nemeria I,,X,,X,,,,X,,,,,,,,X,,,,,,,,,,X,X,,,,X,,,,,,,,,,,,,,
Nemeria II,,,,X,,,X,X,,,,,,,X,X,,,,,,,,,X,,X,,,,,,,,,,,,,,,X,,,
Nemeria II-a,,,X,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nemeria II-b,,,,,,,,X,,,,,,,X,X,,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,
Nemeria III,,,X,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nemeria III-a,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nemeria IV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nemeria IV-a,,,X,X,,,X,,,,X,,,X,,X,,,,,,,,,,,X,,,,,,X,,,,,,,,,,,,
Nemeria IV-b,,,,,,,,,X,,,X,,,,X,,,,,,,,,,X,X,X,,,,,,,,,,X,X,,,,,,
Nemeria V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nemeria V-a,,,,X,,,X,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nemeria V-b,,,,X,,,X,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nemeria V-c,,,,,,,,,,,X,,,,X,X,X,,X,,,,,,,,,,,,,,,,,,,X,X,,,,,X,
Nemeria VI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nemeria VI-a,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nemeria VI-b,,,,,,,,,,,X,,,X,X,X,,,X,,,,,,,,X,,,,,,,,,,,,,,,X,,,X
Nemeria VI-c,,,,,,,,,,,X,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nemeria VI-d,,,,,X,,,,,,X,,,X,,X,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,
Nemeria VII,,,,,,,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rivera I,,,,X,,,X,,X,,,,,,,X,,,,,,,,,,X,X,,X,,,,,,,,,X,,,,,,,
Rivera I-a,,,X,,,X,,X,,,,,,,,X,X,,,,,,,X,,,,,,,,,,X,,,,,,,,,,,
Rivera II,,X,,,,,,X,,,,,,,,X,,X,,,,,,,,X,X,,,,,,,,,,,,,,,,,,
Rivera II-a,,,X,,,X,,,,,,,,,,,X,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
Rivera II-b,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rivera II-c,,,X,,,,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rivera III,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rivera IV,,,,,,,,,,,,,,,X,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,
Rivera IV-a,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rivera V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rivera V-a,,,,,,,,,,,,,,,,X,,,,,,,,,,X,,,X,,,,,,,,,,,,,,,,
Shoza I,,,,,,,,,,,X,,,,,X,,,,,,X,,,,,,,,,,,,,,,,X,,,,,,,
Shoza I-a,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,X
Shoza II,,X,,,,,,X,X,,X,,,,,X,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,
Shoza II-a,,,X,,,,,X,X,,,,,,,X,X,,,,,,,,,X,,,,,,,,X,,,,X,,,,,,,
Shoza III,,,X,,,,,X,,,X,,,X,,X,,,,,,,X,,,,X,,,,,,,X,,,,,,,,,,,
Shoza III-a,,,X,,,X,,,,,,,,,,,X,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
Shoza IV,,,,X,,,X,,X,,,,,,,X,,,,,,,,,,X,X,,X,,X,,,,,,,,,,,,,,
Shoza V,,,,X,,,,,,,X,,,X,,X,,,,,,,,,,,X,,,,X,,,,,,,,,,,X,,,
Shoza VI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shoza VI-a,,,,,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shoza VII,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shoza VII-a,,,X,,,,,,,,X,,,X,,X,X,,,,,,,,,,X,,,,,,,,,,,,,,,X,,,
Shoza VII-b,,,X,,,,,,,,,,,,,X,X,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,
Shoza VII-c,,,X,,,X,,,X,,,,X,,,X,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,
Shoza VIII,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shoza VIII-a,,,,,,,,,,,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,
Shoza VIII-b,,,X,,X,X,,,,,X,,,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
